unit,question_text,question_image,difficulty,active,choice1_text,choice1_image,choice1_correct,choice2_text,choice2_image,choice2_correct,choice3_text,choice3_image,choice3_correct,choice4_text,choice4_image,choice4_correct
อัลกอริทึม,"""เริ่มต้น -> เดินหน้า 3 ก้าว -> เลี้ยวขวา -> เดินหน้า 2 ก้าว -> หยุด"" ข้อความนี้คืออะไร",,2,1,ก. คำถาม,,0,ข. ปริศนา,,0,ค. อัลกอริทึม,,1,ง. เรื่องเล่า,,0
อัลกอริทึม,หากทำตามอัลกอริทึมผิดขั้นตอน จะเกิดอะไรขึ้น,,2,1,ก. จะได้รับคำชมเชย,,0,ข. ผลลัพธ์อาจไม่เป็นไปตามที่ต้องการ,,1,ค. จะแก้ปัญหาได้เร็วขึ้น,,0,ง. ไม่มีอะไรเกิดขึ้น,,0
การแสดงอัลกอริทึมด้วยข้อความ,"ข้อใดคือขั้นตอนแรกของ ""อัลกอริทึมการต้มบะหมี่กึ่งสำเร็จรูป""",,2,1,ก. ฉีกซองบะหมี่,,0,ข. ต้มน้ำให้เดือด,,1,ค. ใส่เครื่องปรุง,,0,ง. กินบะหมี่,,0
การแสดงอัลกอริทึมด้วยข้อความ,"""1. วาดรูปวงกลม 2. วาดรูปสามเหลี่ยมทับบนวงกลม 3. เติมหน้าต่าง"" เป็นอัลกอริทึมการวาดรูปอะไร",,2,1,ก. รถยนต์,,0,ข. บ้าน,,1,ค. ต้นไม้,,0,ง. ดวงอาทิตย์,,0
การแสดงอัลกอริทึมด้วยข้อความ,"ถ้าต้องการเขียนอัลกอริทึม ""การข้ามถนนตรงทางม้าลาย"" ข้อใดควรอยู่เป็นลำดับสุดท้าย",,2,1,ก. มองซ้าย มองขวา,,0,ข. เดินข้ามถนน,,1,ค. รอให้รถหยุด,,0,ง. เดินไปที่ทางม้าลาย,,0
การแสดงอัลกอริทึมด้วยข้อความ,การแสดงอัลกอริทึมด้วยข้อความมีประโยชน์อย่างไร,,2,1,ก. ทำให้คนอื่นอ่านไม่เข้าใจ,,0,ข. ทำให้ทุกคนเข้าใจขั้นตอนตรงกัน,,1,ค. ทำให้ดูซับซ้อนและน่าสับสน,,0,ง. ทำให้ต้องใช้จินตนาการสูง,,0
การแสดงอัลกอริทึมด้วยข้อความ,"หากต้องการสลับลำดับขั้นตอนใน ""อัลกอริทึมการล้างจาน"" ข้อใดจะเกิดปัญหามากที่สุด",,2,1,"ก. สลับระหว่าง ""ล้างด้วยน้ำยาล้างจาน"" กับ ""ล้างด้วยน้ำสะอาด""",,0,"ข. สลับระหว่าง ""เก็บจาน"" กับ ""ล้างจาน""",,0,"ค. สลับระหว่าง ""เช็ดจานให้แห้ง"" กับ ""นำจานไปเก็บ""",,0,"ง. สลับระหว่าง ""กวาดเศษอาหารทิ้ง"" กับ ""ล้างด้วยน้ำยาล้างจาน""",,1
การแสดงอัลกอริทึมด้วยข้อความ,"ข้อใดคือการเรียงลำดับ ""อัลกอริทึมการปลูกต้นไม้"" ที่ถูกต้อง",,2,1,ก. รดน้ำ -> ใส่ปุ๋ย -> ขุดหลุม -> ใส่เมล็ด,,0,ข. ขุดหลุม -> ใส่เมล็ด -> กลบดิน -> รดน้ำ,,1,ค. ใส่เมล็ด -> รดน้ำ -> ขุดหลุม -> กลบดิน,,0,ง. กลบดิน -> ใส่ปุ๋ย -> รดน้ำ -> ใส่เมล็ด,,0
รหัสจำลอง,"จากรหัสจำลอง : เริ่มต้น ทำซ้ำ 3 รอบ พูดว่า “สวัสดี"" จบ จะมีการพูดคำว่า ""สวัสดี"" ทั้งหมดกี่ครั้ง",,2,1,ก. 1 ครั้ง,,0,ข. 2 ครั้ง,,0,ค. 3 ครั้ง,,1,ง. 4 ครั้ง,,0
รหัสจำลอง,จากรหัสจำลอง เริ่มต้น ถ้า (วันนี้ฝนตก) แล้ว ให้กางร่ม จบ ถ้าหากวันนี้แดดออก จะต้องทำอะไร,,2,1,ก. กางร่ม,,0,ข. ไม่ต้องทำอะไร,,1,ค. ใส่เสื้อกันฝน,,0,ง. วิ่งตากฝน,,0
รหัสจำลอง,"คำว่า ""ทำซ้ำ"" ในรหัสจำลอง มีความหมายตรงกับข้อใด",,2,1,ก. การทำงานเพียงครั้งเดียว,,0,ข. การทำงานเดิมๆ หลายครั้ง,,1,ค. การหยุดการทำงาน,,0,ง. การเลือกทำอย่างใดอย่างหนึ่ง,,0
รหัสจำลอง,"""ถ้า ... แล้ว ..."" ในรหัสจำลอง เป็นการทำงานแบบใด",,2,1,ก. แบบวนซ้ำ,,0,ข. แบบตามลำดับ,,0,ค. แบบมีเงื่อนไข,,1,ง. แบบสุ่ม,,0
รหัสจำลอง,"จากรหัสจำลอง เริ่มต้น คะแนน = 85 ถ้า (คะแนน > 80) แล้ว แสดงผล “เก่งมาก"" มิฉะนั้น แสดงผล “พยายามอีกนิด"" จบ ผลลัพธ์คืออะไร",,2,1,ก. เก่งมาก,,1,ข. พยายามอีกนิด,,0,ค. ไม่แสดงผลอะไรเลย,,0,ง. แสดงผลทั้งสองอย่าง,,0
รหัสจำลอง,รหัสจำลองมีประโยชน์อย่างไร,,2,1,ก. เป็นภาษาโปรแกรมที่คอมพิวเตอร์เข้าใจได้ทันที,,0,ข. เป็นร่างหรือแผนผังการเขียนโปรแกรมที่มนุษย์อ่านเข้าใจง่าย,,1,ค. เป็นโค้ดที่ทำงานผิดพลาดเสมอ,,0,ง. เป็นโค้ดที่ใช้สำหรับวาดรูปเท่านั้น,,0
ผังงาน,สัญลักษณ์รูปวงรี (ทรงแคปซูล) ในผังงาน หมายถึงอะไร,,2,1,ก. การตัดสินใจ,,0,ข. การทำงาน หรือ กระบวนการ,,0,ค. จุดเริ่มต้น หรือ สิ้นสุด,,1,ง. การรับข้อมูล,,0
ผังงาน,สัญลักษณ์รูปสี่เหลี่ยมขนมเปียกปูน (ข้าวหลามตัด) ในผังงาน หมายถึงอะไร,,2,1,ก. การตัดสินใจ หรือ เงื่อนไข,,1,ข. การทำงาน หรือ กระบวนการ,,0,ค. จุดเริ่มต้น หรือ สิ้นสุด,,0,ง. ทิศทางการทำงาน,,0
ผังงาน,"ถ้าในผังงานมีสัญลักษณ์สี่เหลี่ยมขนมเปียกปูนที่เขียนว่า ""หิวหรือไม่?"" จะมีเส้นออกจากสัญลักษณ์นี้กี่เส้น",,2,1,ก. 1 เส้นเสมอ,,0,ข. 2 เส้น (เช่น จริง/เท็จ หรือ ใช่/ไม่ใช่),,1,ค. 3 เส้นเสมอ,,0,ง. ไม่มีเส้นออก,,0
ผังงาน,ลูกศรในผังงาน มีไว้เพื่ออะไร,,2,1,ก. ตกแต่งให้สวยงาม,,0,ข. บอกทิศทางการทำงานของขั้นตอน,,1,ค. แบ่งแยกพื้นที่,,0,ง. ไม่มีประโยชน์,,0
ผังงาน,"จากผังงานง่ายๆ: เริ่มต้น -> ต้มน้ำ -> ใส่บะหมี่ -> จบ ขั้นตอนใดคือ ""กระบวนการ"" (Process)",,2,1,ก. เริ่มต้น และ จบ,,0,ข. ต้มน้ำ และ ใส่บะหมี่,,1,ค. ต้มน้ำ เท่านั้น,,0,ง. ไม่มีกระบวนการ,,0
ผังงาน,ข้อใดคือประโยชน์ที่สำคัญที่สุดของการใช้ผังงาน,,2,1,ก. ทำให้ปัญหาดูซับซ้อนขึ้น,,0,ข. ทำให้เห็นลำดับขั้นตอนการทำงานเป็นภาพ เข้าใจง่าย,,1,ค. ทำให้เขียนโปรแกรมได้โดยไม่ต้องคิด,,0,ง. ทำให้ใช้กระดาษเยอะขึ้น,,0
